Unnamed: 0,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,category,category_lvl2,category_lvl3
56,162,nyc_york_new_ny_conrad,"[8, 54, 84]",114,nyc_york_new_ny_chatwal,84,conrad_shack_shake_new_meyer,0.882000906,no,yes,no
55,161,parking_worth_rate_price_expensive,"[22, 53, 59]",131,worth_rate_price_expensive_rates,59,parking_valet_35_seems_fee,0.880782465,no,yes,no
53,159,view_suite_floor_room_upgraded,"[4, 16, 81]",81,dirty_clean_carpets_dusty_room,122,view_suite_floor_room_upgraded,0.869374176,no,yes,no
52,158,bathroom_shower_tub_tv_bath,"[3, 67, 72, 103]",136,shower_bathroom_tub_bath_toilet,119,tv_mirror_bathroom_channels_screen,0.868976954,no,yes,no
51,157,stayed_nights_august_here_surrey,"[35, 47, 74, 97, 104]",120,stayed_nights_august_here_wife,129,stayed_surrey_hotels_london_royal,0.864363034,no,yes,yes
49,155,housekeeping_ice_turn_turndown_job,"[27, 79, 83]",83,ice_water_cold_pack_hour,141,housekeeping_turn_turndown_down_job,0.84673325,no,yes,no
48,154,bar_food_restaurant_drinks_drink,"[10, 21, 51, 62, 91]",132,bar_food_drinks_drink_lounge,139,restaurant_restaurants_stations_dining_food,0.843372764,no,yes,yes
47,153,property_this_experience_overall_hotel,"[2, 17, 49]",117,this_experience_hotel_say_overall,49,property_this_overall_save_is,0.842903115,no,yes,no
46,152,seasons_four_chicago_trump_soho,"[5, 43, 44]",137,seasons_four_chicago_baltimore_regis,43,trump_soho_chicago_returned_at,0.840849737,no,yes,no
45,151,pool_spa_gym_fitness_area,"[7, 19, 24]",134,pool_gym_fitness_area_swimming,19,spa_massage_massages_use_treatment,0.836612131,no,yes,no
44,150,bed_comfortable_rooms_beds_pillows,"[12, 20, 50, 87]",135,rooms_are_spacious_comfortable_location,12,bed_comfortable_pillows_beds_linens,0.835918994,no,no,yes
34,140,bags_bill_me_called_he,"[32, 39, 68]",32,bags_bellman_car_valet_luggage,125,bill_called_me_call_fixed,0.780222885,no,yes,no
29,135,rooms_are_spacious_comfortable_location,"[20, 50, 87]",50,location_great_rooms_service_amenities,118,rooms_are_spacious_comfortable_room,0.747390694,no,yes,no
27,133,service_customer_impeccable_excellent_was,"[15, 82, 99]",99,service_fs_hotel_this_potentential,115,service_customer_impeccable_friendly_was,0.737019866,no,yes,no
26,132,bar_food_drinks_drink_lounge,"[10, 21, 51]",10,bar_drinks_lounge_drink_cocktails,123,food_dinner_delicious_restaurant_meal,0.736509953,no,yes,no
20,126,stay_again_here_would_definitely,"[31, 37, 77]",110,again_here_would_stay_definitely,31,stay_here_overall_wonderful_enjoyed,0.70819538,no,yes,no
14,120,stayed_nights_august_here_wife,"[35, 97, 104]",112,nights_stayed_august_here_wife,97,stayed_days_here_adams_hay,0.642483915,no,yes,no
10,116,desk_front_staff_helpful_valet,"[33, 86, 98]",86,valet_desk_front_staff_everyone,111,desk_front_helpful_staff_professional,0.619169467,no,yes,no
