,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
13,62,pool_gym_fitness_the_area,"[8, 26]",8,pool_area_the_small_is,26,gym_fitness_facility_workout_center,0.7079671933988629
12,61,service_housekeeping_turndown_turn_was,"[14, 17]",17,housekeeping_turndown_turn_service_down,14,service_customer_impeccable_was_friendly,0.6996205808451433
11,60,bed_comfortable_beds_rooms_are,"[12, 25]",12,bed_comfortable_pillows_beds_linens,25,rooms_are_spacious_comfortable_appointed,0.6799867708221974
10,59,breakfast_hotel_the_restaurant_and,"[0, 1, 5, 24]",55,breakfast_hotel_the_restaurant_and,24,rate_rates_night_price_for,0.6496368753062876
9,58,bags_our_check_bellman_ready,"[35, 48]",35,bags_bellman_our_luggage_car,48,early_check_ready_room_checked,0.6372947016125294
8,57,view_suite_floor_room_views,"[7, 20]",20,suite_upgraded_king_deluxe_room,7,view_floor_views_room_on,0.6305068928016251
7,56,staff_friendly_helpful_front_very,"[3, 15, 28]",28,desk_front_staff_helpful_bell,49,staff_friendly_helpful_and_very,0.6287024905035411
6,55,breakfast_hotel_the_restaurant_and,"[0, 1, 5]",53,hotel_this_hotels_is_it,0,breakfast_restaurant_food_bar_the,0.5607130552759741
5,54,stay_again_here_would_definitely,"[18, 32]",32,stay_here_enjoyed_our_overall,18,again_here_stay_would_definitely,0.5437733503821548
4,53,hotel_this_hotels_is_it,"[1, 5]",5,experience_it_say_overall_not,1,hotel_this_hotels_is_of,0.5030147246150989
3,52,nyc_york_new_ny_in,"[10, 47]",10,nyc_york_new_ny_to,47,nyc_rooms_standards_spacious_york,0.45081205044492234
2,51,ritz_carlton_at_the_stayed,"[36, 37]",36,carlton_ritz_at_charlotte_stayed,37,ritz_at_the_stay_service,0.4315643843099657
1,50,location_is_walk_shopping_walking,"[2, 34]",34,location_hotel_is_located_great,2,location_walk_is_walking_shopping,0.3579516492126792
0,49,staff_friendly_helpful_and_very,"[3, 15]",3,staff_friendly_helpful_very_and,15,staff_hotel_friendly_helpful_and,0.23438114426903134
