Unnamed: 0,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,Child_Left_Category,Child_Right_Category
83,189,pool_breakfast_spa_coffee_gym,"[7, 9, 19, 22, 24, 28, 30, 53, 59, 70]",161,parking_worth_rate_price_expensive,183,pool_breakfast_spa_coffee_gym,1.0335698687724164,Parking and Transportation,Food and Beverage
82,188,housekeeping_towels_ice_slippers_turn,"[27, 79, 83, 89, 94, 100]",166,housekeeping_ice_turn_turndown_job,156,towels_slippers_robes_bath_toiletries,1.027841602463885,Cleanliness and Maintenance,Cleanliness and Maintenance
81,187,fairmont_seattle_grounds_garden_00,"[26, 55, 75, 76, 93]",160,seattle_fairmont_puget_sound_rates,184,grounds_garden_00_maintained_beautiful,1.0218715010610653,Location,Cleanliness and Maintenance
80,186,view_suite_room_floor_noise,"[4, 13, 16, 34, 52, 60, 65, 80, 81, 85, 105]",180,noise_lobby_quiet_elevator_air,170,view_suite_room_floor_upgraded,1.0177949159895303,Location,Facilities and Activities
79,185,bed_comfortable_rooms_beds_are,"[12, 20, 25, 46, 50, 87]",121,decor_hotel_modern_furnishings_beautiful,150,bed_comfortable_rooms_beds_pillows,1.0113973481012468,Room and Ameneties,Facilities and Activities
78,184,grounds_garden_00_maintained_beautiful,"[26, 55, 76]",179,grounds_garden_00_maintained_beautiful,26,lol_cooney_genial_russian_plural,1.00829267797108,Cleanliness and Maintenance,Cleanliness and Maintenance
77,183,pool_breakfast_spa_coffee_gym,"[7, 9, 19, 24, 28, 30, 70]",172,breakfast_coffee_internet_wifi_free,151,pool_spa_gym_fitness_area,0.992023557232478,Food and Beverage,Facilities and Activities
76,182,property_this_highly_experience_recommend,"[2, 17, 49, 58, 78, 92, 96]",175,property_this_experience_hotel_it,177,peninsula_highly_recommended_recommend_without,0.9891102226274702,Facilities and Activities,Location
75,181,seasons_four_boston_chicago_trump,"[5, 36, 43, 44, 45, 48, 73, 90]",171,seasons_four_chicago_trump_dc,146,boston_mandarin_oriental_harbor_common,0.9834474121397272,Location,Location
74,180,noise_lobby_quiet_elevator_air,"[13, 34, 52, 60, 80, 105]",105,issues_minor_few_complain_complaints,176,noise_lobby_quiet_elevator_air,0.9624756992883796,Cleanliness and Maintenance,Location
73,179,grounds_garden_00_maintained_beautiful,"[55, 76]",55,00_ten_10_ouch_95,76,grounds_garden_maintained_beautiful_are,0.9592730517583492,Food and Beverage,Cleanliness and Maintenance
72,178,check_our_they_bags_she,"[32, 39, 57, 63, 66, 68, 101]",169,check_bags_bill_call_our,149,she_cribs_stuffed_her_toy,0.9585154615139904,Cleanliness and Maintenance,Cleanliness and Maintenance
71,177,peninsula_highly_recommended_recommend_without,"[78, 96]",78,highly_recommended_recommend_agno_spelling,96,peninsula_3x_oue_cheep_dismissive,0.9493529211209089,Technologhy and Internet,Location
70,176,noise_lobby_quiet_elevator_air,"[13, 34, 52, 60, 80]",138,noise_quiet_air_loud_hear,164,lobby_elevator_elevators_smell_odor,0.9408316159979374,Cleanliness and Maintenance,Facilities and Activities
69,175,property_this_experience_hotel_it,"[2, 17, 49, 58, 92]",148,relaxing_la_relax_atmosphere_relaxed,153,property_this_experience_overall_hotel,0.9353108722684932,Food and Beverage,Facilities and Activities
68,174,location_shopping_walking_walk_distance,"[0, 18, 71]",106,location_shopping_walking_walk_restaurants,71,san_diego_francisco_located_beach,0.9264584602679532,Location,Location
67,173,staff_friendly_helpful_very_professional,"[6, 14, 88, 102]",107,staff_friendly_helpful_very_professional,142,name_welcoming_everyone_greeted_by,0.9255838460694252,Service and Staff,Service and Staff
66,172,breakfast_coffee_internet_wifi_free,"[9, 28, 30, 70]",145,internet_wifi_free_wi_fi,144,breakfast_coffee_tea_morning_maker,0.9253872371643304,Technologhy and Internet,Food and Beverage
65,171,seasons_four_chicago_trump_dc,"[5, 43, 44, 45, 73, 90]",90,hyatt_park_chicago_connection_working,168,seasons_four_chicago_trump_dc,0.9250934232604706,Parking and Transportation,Location
64,170,view_suite_room_floor_upgraded,"[4, 16, 65, 81, 85]",159,view_suite_floor_room_upgraded,128,room_was_nice_spotless_noticed,0.9164588530875224,Room and Ameneties,Location
63,169,check_bags_bill_call_our,"[32, 39, 63, 66, 68]",130,check_early_ready_fast_call,140,bags_bill_me_called_he,0.9155419064530164,Cleanliness and Maintenance,Food and Beverage
62,168,seasons_four_chicago_trump_dc,"[5, 43, 44, 45, 73]",165,seasons_four_chicago_trump_dc,73,waldorf_astoria_towers_grandest_chicago,0.9152554562745052,Location,Location
61,167,again_stay_here_will_back,"[29, 31, 37, 69, 77]",109,back_will_return_definitely_be,126,stay_again_here_would_definitely,0.903971517308176,Cleanliness and Maintenance,Location
60,166,housekeeping_ice_turn_turndown_job,"[27, 79, 83, 100]",100,tip_tipping_accept_gratuity_tips,155,housekeeping_ice_turn_turndown_job,0.9034579993689404,Food and Beverage,Cleanliness and Maintenance
59,165,seasons_four_chicago_trump_dc,"[5, 43, 44, 45]",45,dc_jefferson_washington_fairfax_stay,152,seasons_four_chicago_trump_soho,0.8937874091178404,Location,Food and Beverage
58,164,lobby_elevator_elevators_smell_odor,"[34, 52, 80]",80,smell_odor_smelled_mildew_tissue,147,lobby_elevator_elevators_floor_to,0.8837344150336446,Cleanliness and Maintenance,Location
57,163,de_la_le_un_et,"[1, 11, 23]",143,de_la_le_et_que,11,di_il_la_che_molto,0.8824675938121602,Food and Beverage,Food and Beverage
56,162,nyc_york_new_ny_conrad,"[8, 54, 84]",114,nyc_york_new_ny_chatwal,84,conrad_shack_shake_new_meyer,0.8820009056558241,Location,Food and Beverage
55,161,parking_worth_rate_price_expensive,"[22, 53, 59]",131,worth_rate_price_expensive_rates,59,parking_valet_35_seems_fee,0.8807824651904179,Value and Price,Parking and Transportation
54,160,seattle_fairmont_puget_sound_rates,"[75, 93]",93,fairmont_olympic_rates_swish_nasty,75,seattle_puget_sound_fairmont_downtown,0.869586797059853,Food and Beverage,Location
53,159,view_suite_floor_room_upgraded,"[4, 16, 81]",81,dirty_clean_carpets_dusty_room,122,view_suite_floor_room_upgraded,0.869374176178728,Cleanliness and Maintenance,Room and Ameneties
52,158,bathroom_shower_tub_tv_bath,"[3, 67, 72, 103]",136,shower_bathroom_tub_bath_toilet,119,tv_mirror_bathroom_channels_screen,0.8689769542251516,Facilities and Activities,Facilities and Activities
51,157,stayed_nights_august_here_surrey,"[35, 47, 74, 97, 104]",120,stayed_nights_august_here_wife,129,stayed_surrey_hotels_london_royal,0.8643630335265767,Food and Beverage,Location
50,156,towels_slippers_robes_bath_toiletries,"[89, 94]",94,towels_soft_bath_towel_cold,89,slippers_robes_toiletries_sized_robe,0.8505206947233813,Cleanliness and Maintenance,Cleanliness and Maintenance
49,155,housekeeping_ice_turn_turndown_job,"[27, 79, 83]",83,ice_water_cold_pack_hour,141,housekeeping_turn_turndown_down_job,0.8467332498809524,Food and Beverage,Cleanliness and Maintenance
48,154,bar_food_restaurant_drinks_drink,"[10, 21, 51, 62, 91]",132,bar_food_drinks_drink_lounge,139,restaurant_restaurants_stations_dining_food,0.843372764157776,Food and Beverage,Food and Beverage
47,153,property_this_experience_overall_hotel,"[2, 17, 49]",117,this_experience_hotel_say_overall,49,property_this_overall_save_is,0.8429031148449916,Facilities and Activities,Cleanliness and Maintenance
46,152,seasons_four_chicago_trump_soho,"[5, 43, 44]",137,seasons_four_chicago_baltimore_regis,43,trump_soho_chicago_returned_at,0.8408497369177229,Food and Beverage,Location
45,151,pool_spa_gym_fitness_area,"[7, 19, 24]",134,pool_gym_fitness_area_swimming,19,spa_massage_massages_use_treatment,0.8366121312983755,Facilities and Activities,Facilities and Activities
44,150,bed_comfortable_rooms_beds_pillows,"[12, 20, 50, 87]",135,rooms_are_spacious_comfortable_location,12,bed_comfortable_pillows_beds_linens,0.8359189938952988,Location,Cleanliness and Maintenance
43,149,she_cribs_stuffed_her_toy,"[57, 101]",57,cribs_stuffed_toy_her_crib,101,she_standing_health_her_asked,0.8309533950310266,Food and Beverage,Cleanliness and Maintenance
42,148,relaxing_la_relax_atmosphere_relaxed,"[58, 92]",58,relaxing_atmosphere_relaxed_relax_day,92,la_vibe_confortably_specialy_biltmore,0.8262324525825566,Food and Beverage,Food and Beverage
41,147,lobby_elevator_elevators_floor_to,"[34, 52]",52,elevator_elevators_floor_key_5th,34,lobby_gorgeous_is_small_building,0.8130880147409081,Facilities and Activities,Location
40,146,boston_mandarin_oriental_harbor_common,"[36, 48]",36,boston_harbor_common_our_seasons,48,mandarin_oriental_boston_at_hotels,0.8128533924340114,Location,Food and Beverage
39,145,internet_wifi_free_wi_fi,"[28, 70]",70,ipad_cd_iphone_bose_player,28,internet_wifi_free_wi_fi,0.8112913994005463,Technologhy and Internet,Technologhy and Internet
38,144,breakfast_coffee_tea_morning_maker,"[9, 30]",30,coffee_tea_maker_nespresso_morning,9,breakfast_morning_buffet_breakfasts_included,0.797912998866232,Food and Beverage,Food and Beverage
37,143,de_la_le_et_que,"[1, 23]",1,de_et_le_est_la,23,el_que_de_en_muy,0.7888590952419865,Cleanliness and Maintenance,Food and Beverage
36,142,name_welcoming_everyone_greeted_by,"[88, 102]",88,welcoming_smiling_smile_greeted_friendly,102,name_names_by_knew_everyone,0.7864557782438584,Service and Staff,Technologhy and Internet
35,141,housekeeping_turn_turndown_down_job,"[27, 79]",79,turn_turndown_down_service_night,27,housekeeping_job_clean_turn_returned,0.786339737666828,Food and Beverage,Cleanliness and Maintenance
