Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
95,the_and_to_was_is,17,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,18,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,19,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,20,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,21,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,22,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,24,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,25,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,26,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,27,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,28,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,29,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,31,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,32,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,33,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,34,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,35,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,36,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,37,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,38,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,39,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,40,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,41,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,42,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,43,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,44,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,45,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,47,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
95,the_and_to_was_is,48,93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
94,the_and_was_is_to,0,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,1,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,2,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,3,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,5,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,6,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,7,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,8,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,10,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,12,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,14,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,15,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,16,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,17,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,19,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,20,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,21,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,22,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,24,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,25,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,26,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,27,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,28,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,31,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,34,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,35,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,40,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,43,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,44,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,45,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,47,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
94,the_and_was_is_to,48,91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
93,four_seasons_stay_ritz_stayed,9,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,13,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,18,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,29,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,32,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,33,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,36,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
93,four_seasons_stay_ritz_stayed,37,51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
