,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
102,206,the_and_in_to_is,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103]",204,the_was_and_room_were,205,de_la_four_hotel_stay,1.7374457870870783
101,205,de_la_four_hotel_stay,"[0, 2, 3, 6, 9, 13, 15, 17, 21, 24, 27, 29, 33, 34, 35, 38, 39, 41, 42, 43, 45, 46, 47, 52, 53, 54, 56, 62, 67, 70, 71, 72, 73, 74, 75, 76, 80, 81, 88, 90, 91, 94, 96, 100, 102]",163,again_stay_here_will_back,202,de_la_four_seasons_hotel,1.4858327112951153
100,204,the_was_and_room_were,"[1, 4, 5, 7, 8, 10, 11, 12, 14, 16, 18, 19, 20, 22, 23, 25, 26, 28, 30, 31, 32, 36, 37, 40, 44, 48, 49, 50, 51, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 68, 69, 77, 78, 79, 82, 83, 84, 85, 86, 87, 89, 92, 93, 95, 97, 98, 99, 101, 103]",194,staff_friendly_helpful_desk_front,203,the_room_was_and_pool,1.4784775945100395
99,203,the_room_was_and_pool,"[1, 5, 7, 8, 10, 11, 14, 16, 18, 19, 20, 22, 23, 25, 26, 28, 30, 32, 37, 40, 44, 48, 49, 50, 51, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 68, 69, 77, 78, 79, 82, 83, 86, 87, 89, 92, 98, 99, 101, 103]",199,pool_was_breakfast_the_room,193,bathroom_shower_view_suite_rooms,1.3861061104814583
98,202,de_la_four_seasons_hotel,"[0, 2, 3, 6, 9, 13, 15, 17, 21, 24, 33, 34, 38, 39, 41, 42, 43, 45, 46, 47, 52, 53, 54, 56, 62, 70, 71, 72, 73, 74, 75, 80, 81, 88, 90, 91, 94, 96, 100, 102]",150,stayed_nights_august_surrey_here,201,de_la_four_seasons_location,1.3624755427008892
97,201,de_la_four_seasons_location,"[0, 2, 3, 6, 9, 13, 15, 17, 21, 24, 34, 38, 39, 41, 42, 43, 45, 46, 47, 52, 53, 54, 56, 62, 70, 71, 73, 74, 75, 80, 81, 88, 90, 91, 96, 100]",200,four_seasons_location_is_this,159,de_la_le_un_et,1.322828559142229
96,200,four_seasons_location_is_this,"[2, 3, 6, 13, 15, 17, 24, 34, 38, 39, 41, 42, 43, 45, 46, 47, 52, 53, 54, 56, 62, 70, 71, 73, 74, 75, 80, 81, 88, 90, 91, 96, 100]",198,four_seasons_location_is_hotel,196,service_star_five_stars_customer,1.2976640338905008
95,199,pool_was_breakfast_the_room,"[5, 7, 8, 11, 16, 19, 20, 22, 25, 26, 28, 30, 32, 37, 40, 49, 50, 51, 55, 57, 58, 59, 60, 61, 63, 64, 66, 68, 77, 78, 79, 82, 83, 86, 89, 92, 98, 99, 103]",192,housekeeping_our_check_they_anniversary,197,pool_breakfast_the_was_spa,1.260917172894585
94,198,four_seasons_location_is_hotel,"[2, 3, 6, 15, 17, 24, 34, 38, 39, 41, 42, 43, 45, 46, 47, 52, 53, 56, 70, 71, 73, 74, 75, 81, 88, 90, 91, 96]",111,ritz_carlton_at_stayed_charlotte,195,four_seasons_location_is_hotel,1.2213834663486693
93,197,pool_breakfast_the_was_spa,"[5, 7, 8, 11, 16, 19, 20, 22, 25, 28, 32, 49, 50, 51, 57, 58, 60, 63, 68, 78, 79, 83, 92, 103]",191,pool_breakfast_spa_the_room,151,bar_food_restaurant_drinks_drink,1.2124838919158452
